Epoch,Flow_Speed,Flow_Elevation_Angle,Flow_Azimuth_Angle,Proton_Dens,Radial_Proton_Temp
1973-12-30T00:00:00.000Z,498,0.2,1.8,0.0261,21723
1973-12-30T01:00:00.000Z,496.4,1.9,1.8,0.0308,27801
1973-12-30T02:00:00.000Z,489.9,1.3,0.1,0.0281,24910
1973-12-30T03:00:00.000Z,487.2,2.8,-0.7,0.0321,21894
1973-12-30T04:00:00.000Z,487.6,3.1,-0.6,0.0341,26510
1973-12-30T05:00:00.000Z,482.9,2.4,0.9,0.0269,21370
1973-12-30T06:00:00.000Z,483.4,1.9,0.7,0.0284,24255
1973-12-30T07:00:00.000Z,498.1,0.2,-1.3,0.0339,22198
1973-12-30T08:00:00.000Z,470.8,0.5,-1.4,0.0286,13152
1973-12-30T09:00:00.000Z,489.7,0.2,0.4,0.0213,24196
1973-12-30T10:00:00.000Z,499.8,-0.5,0.9,0.052,8460
1973-12-30T11:00:00.000Z,477.7,-3.2,-0.9,0.0425,21225
1973-12-30T12:00:00.000Z,499.9,-2.6,0.6,0.0385,7909
1973-12-30T13:00:00.000Z,502.8,-0.6,2.2,0.0507,9383
1973-12-30T14:00:00.000Z,488.6,-0.7,2.6,0.0261,5786
1973-12-30T15:00:00.000Z,493.5,0.4,-0.9,0.0405,18580
1973-12-30T16:00:00.000Z,485.1,0.4,-1.1,0.0728,36638
1973-12-30T17:00:00.000Z,491.2,0.2,-0.5,0.0556,24176
1973-12-30T18:00:00.000Z,490.8,1.5,-0.8,0.0391,19394
1973-12-30T19:00:00.000Z,490.7,-0.6,-0.3,0.06,26555
1973-12-30T20:00:00.000Z,485.1,-0.9,-1.5,0.0485,27649
1973-12-30T21:00:00.000Z,489.4,-0.5,-2.2,0.0689,25342
1973-12-30T22:00:00.000Z,492.5,0.2,-0.7,0.0573,21477
